"","res_name"
"310","CL"
"311","CL"
"312","CA"
"313","CA"
"314","CA"
"315","CL"
"316","CL"
"317","CL"
"318","FE"
"319","CL"
"320","CA"
"321","CA"
"322","CA"
"323","CL"
"324","nan"
"325","CA"
"326","CL"
"327","CL"
"328","MG"
"329","nan"
"330","CL"
"331","CL"
"332","nan"
"333","CL"
"334","MG"
"335","CL"
"336","CL"
"337","CL"
"338","CL"
"339","nan"
"340","CA"
"341","CL"
"342","ZN"
"343","CA"
"344","CA"
"345","CA"
"346","CL"
"347","MG"
"348","MN"
"349","CA"
"350","CL"
"351","MG"
"352","CL"
"353","ZN"
"354","CA"
"355","CL"
"356","ZN"
"357","nan"
"358","ZN"
"359","ZN"
"360","MG"
"361","ZN"
"362","nan"
"363","MG"
"364","MG"
"365","MG"
"366","CA"
"367","CL"
"368","MG"
"369","CA"
"370","CL"
"371","MG"
"372","CL"
"373","ZN"
"374","CA"
"375","CL"
"376","CL"
"377","MG"
"378","CA"
"379","CA"
"380","CA"
"381","CA"
"382","CL"
"383","ZN"
"384","CA"
"385","nan"
"386","MG"
"387","CA"
"388","CL"
"389","CA"
"390","CL"
"391","MG"
"392","CL"
"393","ZN"
"394","ZN"
"395","ZN"
"396","CA"
"397","CL"
"398","CL"
"399","MG"
"400","nan"
"401","CA"
"402","ZN"
"403","MG"
"404","CL"
"405","ZN"
"406","ZN"
"407","MG"
"408","nan"
"409","MG"
"410","ZN"
"411","ZN"
"412","CL"
"413","CL"
"414","CL"
"415","MG"
"416","CL"
"417","CL"
"418","CL"
"419","CL"
"420","CL"
"421","CL"
"422","CL"
"423","CL"
"424","ZN"
"425","ZN"
"426","MG"
"427","MG"
"428","CA"
"429","CA"
"430","ZN"
"431","MG"
"432","ZN"
"433","MG"
"434","ZN"
"435","CL"
"436","CA"
"437","CL"
"438","MN"
"439","CA"
"440","MG"
"441","nan"
"442","CL"
"443","MG"
"444","MG"
"445","MG"
"446","CA"
"447","CA"
"448","ZN"
"449","MG"
"450","CL"
"451","MG"
"452","CL"
"453","nan"
"454","CL"
"455","IOD"
"456","MG"
"457","CL"
"458","CA"
"459","CA"
"460","ZN"
"461","CL"
"462","nan"
"463","MG"
"464","CL"
"465","CL"
"466","CA"
"467","CA"
"468","MG"
"469","CA"
"470","CL"
"471","CL"
"472","CL"
"473","CL"
"474","CL"
"475","MG"
"476","MG"
"477","MG"
"478","ZN"
"479","ZN"
"480","CL"
"481","CL"
"482","CL"
"483","nan"
"484","CA"
"485","MG"
"486","CL"
"487","CL"
"488","MG"
"489","CA"
"490","ZN"
"491","CL"
"492","CA"
"493","MG"
"494","nan"
"495","CA"
"496","nan"
"497","CL"
"498","CA"
"499","CA"
"500","MG"
"501","CA"
"502","MG"
"503","MG"
"504","CL"
"505","CL"
"506","MG"
"507","CL"
"508","CL"
"509","CA"
"510","CA"
"511","CA"
"512","ZN"
"513","CL"
"514","CL"
"515","CL"
"516","MG"
"517","ZN"
"518","CL"
"519","CL"
"520","MN"
"521","CL"
"522","CL"
"523","CL"
"524","CA"
"525","CA"
"526","CA"
"527","ZN"
"528","CL"
"529","MG"
"530","CL"
"531","CL"
"532","MN"
"533","MG"
"534","CA"
"535","CL"
"536","CL"
"537","CL"
"538","CL"
"539","CL"
"540","MG"
"541","FES"
"542","MG"
"543","CA"
"544","ZN"
"545","CA"
"546","CA"
"547","MG"
"548","CL"
"549","CA"
"550","ZN"
"551","CL"
"552","CA"
"553","CL"
"554","CL"
"555","CA"
"556","CL"
"557","MG"
"558","CL"
"559","CL"
"560","ZN"
"561","CA"
"562","MG"
"563","MN"
"564","CA"
"565","CA"
"566","CA"
"567","CA"
"568","CL"
"569","CL"
"570","CL"
"571","CA"
"572","MG"
"573","CL"
"574","ZN"
"575","CL"
"576","CA"
"577","CD"
"578","nan"
"579","CL"
"580","CL"
"581","ZN"
"582","ZN"
"583","CA"
"584","CA"
"585","CL"
"586","CA"
"587","CA"
"588","CL"
"589","MG"
"590","ZN"
"591","ZN"
"592","CL"
"593","IOD"
"594","CL"
"595","ZN"
"596","ZN"
"597","CL"
"598","MG"
"599","CL"
"600","CL"
"601","nan"
"602","CL"
"603","ZN"
"604","CA"
"605","ZN"
"606","ZN"
"607","ZN"
"608","nan"
"609","ZN"
"610","MG"
"611","CL"
"612","CL"
"613","MG"
"614","CL"
"615","nan"
"616","MN"
"617","CA"
"618","CA"
"619","CA"
"620","CL"
"621","MG"
"622","MG"
"623","MG"
"624","CL"
"625","ZN"
"626","nan"
"627","CL"
"628","nan"
"629","ZN"
"630","MG"
"631","CL"
"632","nan"
"633","CL"
"634","ZN"
"635","CL"
"636","MG"
"637","CL"
"638","CA"
"639","CL"
"640","CL"
"641","CL"
"642","ZN"
"643","CA"
"644","CA"
"645","ZN"
"646","ZN"
"647","CL"
"648","MG"
"649","MG"
"650","MG"
"651","ZN"
"652","CL"
"653","CL"
"654","MG"
"655","ZN"
"656","CA"
"657","CL"
"658","CA"
"659","MG"
"660","ZN"
"661","CL"
"662","CA"
"663","MG"
"664","ZN"
"665","ZN"
"666","CA"
"667","ZN"
"668","CL"
"669","CA"
"670","CA"
"671","ZN"
"672","CA"
"673","ZN"
"674","FES"
"675","MG"
"676","MG"
"677","CL"
"678","CL"
"679","ZN"
"680","CL"
"681","MG"
"682","CL"
"683","nan"
"684","CA"
"685","CL"
"686","CL"
"687","CL"
"688","ZN"
"689","CL"
"690","CA"
"691","CL"
"692","CL"
"693","nan"
"694","nan"
"695","CL"
"696","CL"
"697","CL"
"698","MG"
"699","CL"
"700","CL"
"701","CL"
"702","CL"
"703","ZN"
"704","CA"
"705","CL"
"706","CL"
"707","MG"
"708","ZN"
"709","ZN"
"710","CL"
"711","ZN"
"712","CL"
"713","CA"
"714","nan"
"715","MG"
"716","ZN"
"717","MG"
"718","MG"
"719","MG"
"720","MG"
"721","ZN"
"722","CL"
"723","CL"
"724","CL"
"725","MN"
"726","MG"
"727","CA"
"728","MG"
"729","CA"
"730","CL"
"731","ZN"
"732","FE"
"733","CA"
"734","MG"
"735","FES"
"736","ZN"
"737","CL"
"738","ZN"
"739","CL"
"740","CL"
"741","CL"
"742","CA"
"743","ZN"
"744","CA"
"745","CA"
"746","CA"
"747","CA"
"748","ZN"
"749","CL"
"750","ZN"
"751","MG"
"752","IMD"
"753","IMD"
"754","CL"
"755","MG"
"756","CA"
"757","ZN"
"758","CL"
"759","CL"
"760","CL"
"761","CA"
"762","MG"
"763","MG"
"764","nan"
"765","MG"
"766","CL"
"767","MG"
"768","MN"
"769","MG"
"770","CL"
"771","CA"
"772","CA"
"773","CL"
"774","MG"
"775","CL"
"776","CL"
"777","ZN"
"778","CL"
"779","CL"
"780","CA"
"781","MN"
"782","CL"
"783","CA"
"784","CL"
"785","CL"
"786","MG"
"787","CO"
"788","ZN"
"789","ZN"
"790","MG"
"791","CA"
"792","CA"
"793","CL"
"794","MG"
"795","ZN"
"796","SF4"
"797","SF4"
"798","CL"
"799","CL"
"800","CL"
"801","CL"
"802","CL"
"803","CA"
"804","ZN"
"805","MG"
"806","CL"
"807","MG"
"808","CA"
"809","CL"
"810","CA"
"811","CL"
"812","CL"
"813","CA"
"814","MN"
"815","CL"
"816","MG"
"817","ZN"
"818","MG"
"819","CL"
"820","K"
"821","CL"
"822","CL"
"823","MG"
"824","nan"
"825","nan"
"826","nan"
"827","CA"
"828","CA"
"829","CL"
"830","MG"
"831","CL"
"832","ZN"
"833","MG"
"834","CL"
"835","ZN"
"836","CA"
"837","MG"
"838","MG"
"839","CL"
"840","CL"
"841","CA"
"842","CL"
"843","CA"
"844","CL"
"845","nan"
"846","ZN"
"847","CL"
"848","CA"
"849","CL"
"850","CL"
"851","CA"
"852","CA"
"853","CA"
"854","CL"
"855","ZN"
"856","CA"
"857","CL"
"858","CL"
"859","CL"
"860","CL"
"861","nan"
"862","CL"
"863","CA"
"864","ZN"
"865","CA"
"866","CL"
"867","nan"
"868","MG"
"869","CA"
"870","ZN"
"871","SF4"
"872","SF4"
"873","ZN"
"874","CA"
"875","MG"
"876","MG"
"877","CA"
"878","CA"
"879","CL"
"880","CL"
"881","CL"
"882","MG"
"883","CL"
"884","MG"
"885","MG"
"886","CL"
"887","CL"
"888","ZN"
"889","ZN"
"890","CA"
"891","CA"
"892","CL"
"893","CA"
"894","ZN"
"895","ZN"
"896","CL"
"897","MG"
"898","MG"
"899","MN"
"900","MG"
"901","MG"
"902","MG"
"903","MG"
"904","CL"
"905","CL"
"906","CL"
"907","CL"
"908","CL"
"909","CA"
"910","MG"
"911","MG"
"912","MN"
"913","MN"
"914","CL"
"915","CA"
"916","ZN"
"917","CA"
"918","ZN"
"919","CL"
"920","CL"
"921","nan"
"922","CL"
"923","CL"
"924","CL"
"925","CL"
"926","IMD"
"927","MG"
"928","MG"
"929","MG"
"930","CL"
"931","nan"
"932","ZN"
"933","CL"
"934","CA"
"935","ZN"
"936","CL"
"937","ZN"
"938","CA"
"939","CL"
"940","CL"
"941","CL"
"942","nan"
"943","CL"
"944","CL"
"945","CL"
"946","CL"
"947","CA"
"948","CA"
"949","CL"
"950","CL"
"951","CA"
"952","CL"
"953","CL"
"954","MG"
"955","ZN"
"956","CL"
"957","ZN"
"958","CL"
"959","CL"
"960","CL"
"961","CL"
"962","CL"
"963","CA"
"964","nan"
"965","ZN"
"966","CL"
"967","CL"
"968","CL"
"969","ZN"
"970","ZN"
"971","CA"
"972","CL"
"973","nan"
"974","CA"
"975","CL"
"976","SF4"
"977","CL"
"978","CL"
"979","MG"
"980","MG"
"981","ZN"
"982","CL"
"983","MG"
"984","ZN"
"985","CL"
"986","CL"
"987","CL"
"988","MG"
"989","CL"
"990","CL"
"991","MN"
"992","ZN"
"993","CA"
"994","MN"
"995","nan"
"996","ZN"
"997","CL"
"998","ZN"
"999","CA"
"1000","IOD"
"1001","CL"
"1002","ZN"
"1003","CA"
"1004","CL"
"1005","CL"
"1006","CL"
"1007","CL"
"1008","CA"
"1009","CA"
"1010","CL"
"1011","MG"
"1012","MG"
"1013","CL"
"1014","CL"
"1015","CL"
"1016","CA"
"1017","CL"
"1018","CL"
"1019","CL"
"1020","CL"
"1021","CL"
"1022","CA"
"1023","CA"
"1024","CA"
"1025","ZN"
"1026","ZN"
"1027","MN"
"1028","CL"
"1029","CL"
"1030","CL"
"1031","CL"
"1032","ZN"
"1033","IMD"
"1034","MG"
"1035","ZN"
"1036","CA"
"1037","MG"
"1038","MG"
"1039","CL"
"1040","CA"
"1041","CL"
"1042","MG"
"1043","MG"
"1044","nan"
"1045","CA"
"1046","MG"
"1047","CA"
"1048","ZN"
"1049","CA"
"1050","CA"
"1051","MG"
"1052","CL"
"1053","CL"
"1054","CL"
"1055","MG"
"1056","MG"
"1057","MG"
"1058","MG"
"1059","CL"
"1060","CL"
"1061","CA"
"1062","CL"
"1063","MN"
"1064","CL"
"1065","CA"
"1066","CL"
"1067","CA"
"1068","CA"
"1069","ZN"
"1070","CL"
"1071","CA"
"1072","MG"
"1073","nan"
"1074","nan"
"1075","ZN"
"1076","CA"
"1077","ZN"
"1078","CL"
"1079","CA"
"1080","CL"
"1081","ZN"
"1082","MG"
"1083","ZN"
"1084","CA"
"1085","nan"
"1086","ZN"
"1087","nan"
"1088","MG"
"1089","CA"
"1090","nan"
"1091","nan"
"1092","ZN"
"1093","ZN"
"1094","CL"
"1095","MG"
"1096","CL"
"1097","CA"
"1098","CA"
"1099","ZN"
"1100","CA"
"1101","MG"
"1102","MG"
"1103","ZN"
"1104","MG"
"1105","CA"
"1106","CA"
"1107","CL"
"1108","CA"
"1109","CL"
"1110","CA"
"1111","CL"
"1112","MG"
"1113","CL"
"1114","CL"
"1115","CL"
"1116","MG"
"1117","CL"
"1118","CA"
"1119","CA"
"1120","K"
"1121","CL"
"1122","CL"
"1123","SF4"
"1124","CL"
"1125","MG"
"1126","ZN"
"1127","CA"
"1128","CA"
"1129","CA"
"1130","ZN"
"1131","ZN"
"1132","CL"
"1133","MG"
"1134","CA"
"1135","CL"
"1136","CL"
"1137","MG"
"1138","CA"
"1139","FE"
"1140","nan"
"1141","CL"
"1142","nan"
"1143","nan"
"1144","ZN"
"1145","CL"
"1146","CL"
"1147","CL"
"1148","ZN"
"1149","CL"
"1150","MG"
"1151","MG"
"1152","CA"
"1153","IMD"
"1154","CL"
"1155","MG"
"1156","MG"
"1157","MG"
"1158","MG"
"1159","CA"
"1160","MG"
"1161","CL"
"1162","MG"
"1163","MG"
"1164","ZN"
"1165","ZN"
"1166","CA"
"1167","nan"
"1168","CA"
"1169","ZN"
"1170","ZN"
"1171","MN"
"1172","CL"
"1173","CL"
"1174","CA"
"1175","CA"
"1176","CL"
"1177","CA"
"1178","CL"
"1179","CA"
"1180","CL"
"1181","CL"
"1182","ZN"
"1183","ZN"
"1184","MG"
"1185","MG"
"1186","ZN"
"1187","CA"
"1188","CA"
"1189","MG"
"1190","CL"
"1191","ZN"
"1192","CL"
"1193","ZN"
"1194","CA"
"1195","CL"
"1196","CA"
"1197","CL"
"1198","CL"
"1199","CA"
"1200","CL"
"1201","ZN"
"1202","CL"
"1203","CL"
"1204","CL"
"1205","CL"
"1206","CA"
"1207","CL"
"1208","CL"
"1209","CO"
"1210","CL"
"1211","CL"
"1212","nan"
"1213","CA"
"1214","CL"
"1215","MG"
"1216","IMD"
"1217","SF4"
"1218","ZN"
"1219","CL"
"1220","MG"
"1221","CL"
"1222","CA"
"1223","CA"
"1224","ZN"
"1225","CL"
"1226","MN"
"1227","MG"
"1228","MG"
"1229","CL"
"1230","MN"
"1231","CA"
"1232","CA"
"1233","CL"
"1234","CL"
"1235","CL"
"1236","CL"
"1237","ZN"
"1238","CL"
"1239","CL"
"1240","nan"
"1241","CL"
"1242","nan"
"1243","nan"
"1244","ZN"
"1245","CL"
"1246","CL"
"1247","MG"
"1248","CL"
"1249","ZN"
"1250","ZN"
"1251","CA"
"1252","MN"
"1253","SF4"
"1254","CL"
"1255","CA"
"1256","ZN"
"1257","nan"
"1258","CA"
"1259","ZN"
"1260","CL"
"1261","MN"
"1262","MG"
"1263","MG"
"1264","MG"
"1265","CL"
"1266","MG"
"1267","CA"
"1268","MN"
"1269","nan"
"1270","ZN"
"1271","CL"
"1272","CL"
"1273","CA"
"1274","nan"
"1275","CL"
"1276","CL"
"1277","MG"
"1278","CA"
"1279","CL"
"1280","ZN"
"1281","CA"
"1282","CL"
"1283","nan"
"1284","CL"
"1285","nan"
"1286","CA"
"1287","CA"
"1288","CA"
"1289","CA"
"1290","CA"
"1291","CA"
"1292","CA"
"1293","CL"
"1294","CL"
"1295","MN"
"1296","MG"
"1297","CL"
"1298","CL"
"1299","ZN"
"1300","BR"
"1301","CL"
"1302","CL"
"1303","nan"
"1304","CL"
"1305","CA"
"1306","CL"
"1307","MG"
"1308","CL"
"1309","CL"
"1310","CL"
"1311","ZN"
"1312","ZN"
"1313","CL"
"1314","CL"
"1315","CL"
"1316","CL"
"1317","CL"
"1318","ZN"
"1319","MG"
"1320","CL"
"1321","CL"
"1322","ZN"
"1323","MN"
"1324","CA"
"1325","ZN"
"1326","ZN"
"1327","MG"
"1328","ZN"
"1329","K"
"1330","ZN"
"1331","CL"
"1332","CA"
"1333","CL"
"1334","CL"
"1335","CL"
"1336","MG"
"1337","CL"
"1338","ZN"
"1339","CA"
"1340","MG"
"1341","CL"
"1342","CL"
"1343","CA"
"1344","ZN"
"1345","MG"
"1346","MG"
"1347","ZN"
"1348","CL"
"1349","CL"
"1350","CL"
"1351","CA"
"1352","CA"
"1353","CL"
"1354","MG"
"1355","CL"
"1356","CL"
"1357","CL"
"1358","CL"
"1359","CA"
"1360","MG"
"1361","CL"
"1362","nan"
"1363","CL"
"1364","nan"
"1365","CL"
"1366","CA"
"1367","MN"
"1368","CL"
"1369","SF4"
"1370","CL"
"1371","ZN"
"1372","CL"
"1373","CL"
"1374","MN"
"1375","ZN"
"1376","MG"
"1377","ZN"
"1378","CL"
"1379","MG"
"1380","CL"
"1381","CA"
"1382","CA"
"1383","CA"
"1384","CL"
"1385","MG"
"1386","SF4"
"1387","SF4"
"1388","CA"
"1389","CA"
"1390","MG"
"1391","CL"
"1392","MG"
"1393","CL"
"1394","ZN"
"1395","CA"
"1396","CL"
"1397","CL"
"1398","CL"
"1399","nan"
"1400","CL"
"1401","CL"
"1402","CL"
"1403","CA"
"1404","nan"
"1405","MN"
"1406","CL"
"1407","CA"
"1408","CL"
"1409","ZN"
"1410","CA"
"1411","CL"
"1412","CA"
"1413","CA"
"1414","ZN"
"1415","MG"
"1416","CL"
"1417","ZN"
"1418","CL"
"1419","CL"
"1420","MG"
"1421","ZN"
"1422","CA"
"1423","CL"
"1424","ZN"
"1425","MG"
"1426","MG"
"1427","CL"
"1428","ZN"
"1429","CA"
"1430","CL"
"1431","CA"
"1432","CL"
"1433","CL"
"1434","ZN"
"1435","MG"
"1436","CL"
"1437","CL"
"1438","CL"
"1439","CA"
"1440","nan"
"1441","CA"
"1442","nan"
"1443","CA"
"1444","CA"
"1445","nan"
"1446","CL"
"1447","CL"
"1448","CA"
"1449","ZN"
"1450","MG"
"1451","CA"
"1452","CL"
"1453","CA"
"1454","CL"
"1455","ZN"
"1456","ZN"
"1457","K"
"1458","CA"
"1459","MG"
"1460","ZN"
"1461","MG"
"1462","MG"
"1463","ZN"
"1464","CA"
"1465","CL"
"1466","CA"
"1467","CL"
"1468","CL"
"1469","CL"
"1470","CL"
"1471","CL"
"1472","CA"
"1473","CA"
"1474","CA"
"1475","IMD"
"1476","MG"
"1477","CL"
"1478","CL"
"1479","CA"
"1480","MG"
"1481","ZN"
"1482","ZN"
"1483","CA"
"1484","ZN"
"1485","MG"
"1486","CL"
"1487","MN"
"1488","CL"
"1489","MG"
"1490","CL"
"1491","CA"
"1492","CL"
"1493","ZN"
"1494","CA"
"1495","nan"
"1496","MG"
"1497","CA"
"1498","CA"
"1499","MG"
"1500","MG"
"1501","CL"
"1502","CL"
"1503","CL"
"1504","MG"
"1505","CL"
"1506","CA"
"1507","CL"
"1508","ZN"
"1509","ZN"
"1510","CA"
"1511","CA"
"1512","ZN"
"1513","ZN"
"1514","CA"
"1515","CA"
"1516","CL"
"1517","MG"
"1518","CA"
"1519","MG"
"1520","nan"
"1521","CA"
"1522","MG"
"1523","CL"
"1524","CL"
"1525","ZN"
"1526","MN"
"1527","CA"
"1528","CL"
"1529","MG"
"1530","CL"
"1531","ZN"
"1532","CL"
"1533","ZN"
"1534","CL"
"1535","MN"
"1536","MG"
"1537","CA"
"1538","CA"
"1539","CL"
"1540","CL"
"1541","MG"
"1542","nan"
"1543","CA"
"1544","MG"
"1545","MG"
"1546","MG"
"1547","CA"
"1548","CA"
"1549","CL"
"1550","CL"
"1551","CL"
"1552","nan"
"1553","ZN"
"1554","CL"
"1555","CL"
"1556","CL"
"1557","nan"
"1558","nan"
"1559","ZN"
"1560","CL"
"1561","CL"
"1562","nan"
"1563","CL"
"1564","MG"
"1565","ZN"
"1566","CL"
"1567","CA"
"1568","ZN"
"1569","CL"
"1570","ZN"
"1571","CL"
"1572","ZN"
"1573","CL"
"1574","CL"
"1575","CA"
"1576","CL"
"1577","CA"
"1578","CL"
"1579","CL"
"1580","MG"
"1581","MG"
"1582","MG"
"1583","nan"
"1584","MG"
"1585","MG"
"1586","CL"
"1587","CL"
"1588","CL"
"1589","CL"
"1590","CA"
"1591","CA"
"1592","MG"
"1593","MG"
"1594","MG"
"1595","CL"
"1596","CL"
"1597","MG"
"1598","CL"
"1599","CL"
"1600","ZN"
"1601","CL"
"1602","CL"
"1603","CA"
"1604","CL"
"1605","ZN"
"1606","CL"
"1607","CL"
"1608","CL"
"1609","ZN"
"1610","ZN"
"1611","CL"
"1612","CA"
"1613","CA"
"1614","CA"
"1615","CL"
"1616","MG"
"1617","ZN"
"1618","CL"
"1619","CL"
"1620","SF4"
"1621","MG"
"1622","CL"
"1623","CL"
"1624","CL"
"1625","CA"
"1626","CL"
"1627","CA"
"1628","CL"
"1629","ZN"
"1630","CL"
"1631","CA"
"1632","CL"
"1633","ZN"
"1634","ZN"
"1635","CL"
"1636","CL"
"1637","CA"
"1638","ZN"
"1639","CL"
"1640","ZN"
"1641","MG"
"1642","SF4"
"1643","CA"
"1644","nan"
"1645","CA"
"1646","MG"
"1647","CL"
"1648","CL"
"1649","CL"
"1650","CL"
"1651","CA"
"1652","MG"
"1653","CL"
"1654","ZN"
"1655","CA"
"1656","nan"
"1657","ZN"
"1658","CL"
"1659","CL"
"1660","MG"
"1661","CL"
"1662","CL"
"1663","CL"
"1664","MG"
"1665","CL"
"1666","CD"
"1667","CA"
"1668","CL"
"1669","MG"
"1670","MG"
"1671","MG"
"1672","CL"
"1673","CL"
"1674","CL"
"1675","ZN"
"1676","CL"
"1677","CL"
"1678","CL"
"1679","ZN"
"1680","CA"
"1681","CL"
"1682","CL"
"1683","CL"
"1684","CA"
"1685","MG"
"1686","ZN"
"1687","ZN"
"1688","MN"
"1689","CL"
"1690","MG"
"1691","CL"
"1692","CA"
"1693","ZN"
"1694","CL"
"1695","CA"
"1696","CA"
"1697","CL"
"1698","ZN"
"1699","MG"
"1700","CL"
"1701","CL"
"1702","CL"
"1703","ZN"
"1704","CU"
"1705","CA"
"1706","CA"
"1707","CL"
"1708","nan"
"1709","ZN"
"1710","CL"
"1711","nan"
"1712","MN"
"1713","MG"
"1714","CA"
"1715","CL"
"1716","CL"
"1717","CL"
"1718","CL"
"1719","CA"
"1720","CL"
"1721","nan"
"1722","CL"
"1723","MG"
"1724","CA"
"1725","CA"
"1726","CL"
"1727","CU"
"1728","CA"
"1729","CL"
"1730","CA"
"1731","nan"
"1732","CL"
"1733","CL"
"1734","MG"
"1735","CL"
"1736","CA"
"1737","nan"
"1738","CL"
"1739","CL"
"1740","CL"
"1741","CL"
"1742","CL"
"1743","CL"
"1744","CL"
"1745","ZN"
"1746","MG"
"1747","nan"
"1748","CA"
"1749","CL"
"1750","CA"
"1751","CL"
"1752","CL"
"1753","CL"
"1754","CL"
"1755","ZN"
"1756","CL"
"1757","CA"
"1758","CA"
"1759","CL"
"1760","CL"
"1761","SF4"
"1762","ZN"
"1763","MG"
"1764","MG"
"1765","CL"
"1766","CA"
"1767","CL"
"1768","MG"
"1769","CL"
"1770","MG"
"1771","MG"
"1772","MG"
"1773","ZN"
"1774","CA"
"1775","FE"
"1776","ZN"
"1777","ZN"
"1778","ZN"
"1779","ZN"
"1780","ZN"
"1781","MG"
"1782","ZN"
"1783","MG"
"1784","CL"
"1785","MG"
"1786","MG"
"1787","CL"
"1788","MG"
"1789","CA"
"1790","CA"
"1791","ZN"
"1792","CL"
"1793","CA"
"1794","CL"
"1795","ZN"
"1796","CL"
"1797","ZN"
"1798","CA"
"1799","CA"
"1800","CA"
"1801","CA"
"1802","CL"
"1803","MG"
"1804","MG"
"1805","nan"
"1806","ZN"
"1807","nan"
"1808","ZN"
"1809","CL"
"1810","CL"
"1811","CL"
"1812","CA"
"1813","MG"
"1814","CL"
"1815","FES"
"1816","MG"
"1817","CL"
"1818","MG"
"1819","MG"
"1820","nan"
"1821","CL"
"1822","CL"
"1823","MG"
"1824","CL"
"1825","MG"
"1826","CL"
"1827","CA"
"1828","CL"
"1829","ZN"
"1830","CL"
"1831","CL"
"1832","CL"
"1833","MG"
"1834","CL"
