"","res_name_group"
"261","CL"
"262","CL"
"263","CA"
"264","MG"
"265","CA"
"266","CL"
"267","CL"
"268","CL"
"269","CA"
"270","CA"
"271","nan"
"272","CA"
"273","SF4_F3S"
"274","CA"
"275","CA"
"276","CA"
"277","CA"
"278","CA"
"279","CL"
"280","CL"
"281","CL"
"282","CA"
"283","CL"
"284","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"285","CL"
"286","CL"
"287","CL"
"288","CA"
"289","CA"
"290","CL"
"291","ZN"
"292","CA"
"293","MG"
"294","MG"
"295","CL"
"296","MG"
"297","ZN"
"298","CL"
"299","CL"
"300","ZN"
"301","CL"
"302","MG"
"303","ZN"
"304","CL"
"305","SF4_F3S"
"306","MG"
"307","CL"
"308","CL"
"309","CL"
"310","CA"
"311","CL"
"312","CA"
"313","CA"
"314","CA"
"315","CL"
"316","CL"
"317","CL"
"318","CA"
"319","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"320","MG"
"321","CA"
"322","CA"
"323","CL"
"324","CL"
"325","CA"
"326","CL"
"327","MG"
"328","MG"
"329","MG"
"330","CL"
"331","CL"
"332","nan"
"333","CL"
"334","MG"
"335","CL"
"336","CL"
"337","CA"
"338","nan"
"339","nan"
"340","MG"
"341","CA"
"342","ZN"
"343","ZN"
"344","CA"
"345","CL"
"346","CL"
"347","MG"
"348","MN"
"349","CA"
"350","CL"
"351","CL"
"352","CL"
"353","ZN"
"354","ZN"
"355","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"356","ZN"
"357","CL"
"358","nan"
"359","ZN"
"360","ZN"
"361","ZN"
"362","CL"
"363","ZN"
"364","MG"
"365","EDO_BME_ETA"
"366","CL"
"367","CA"
"368","CA"
"369","CA"
"370","nan"
"371","MG"
"372","CL"
"373","CA"
"374","CA"
"375","CL"
"376","CL"
"377","CA"
"378","CA"
"379","CA"
"380","MG"
"381","CA"
"382","CL"
"383","ZN"
"384","MG"
"385","MG"
"386","MG"
"387","CA"
"388","CL"
"389","CA"
"390","CA"
"391","CA"
"392","CL"
"393","ZN"
"394","CL"
"395","ZN"
"396","MG"
"397","CL"
"398","CL"
"399","NAG_NDG_A2G_NGA_MAG"
"400","nan"
"401","MG"
"402","CA"
"403","CA"
"404","CL"
"405","CA"
"406","HEM"
"407","CL"
"408","MG"
"409","MG"
"410","CL"
"411","MG"
"412","nan"
"413","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"414","CL"
"415","ZN"
"416","CL"
"417","CL"
"418","CL"
"419","nan"
"420","CL"
"421","CL"
"422","CL"
"423","CA"
"424","ZN"
"425","ZN"
"426","MG"
"427","MG"
"428","CA"
"429","CA"
"430","ZN"
"431","CA"
"432","ZN"
"433","MG"
"434","ZN"
"435","CL"
"436","CA"
"437","MG"
"438","CA"
"439","ZN"
"440","HEM"
"441","CL"
"442","CL"
"443","MG"
"444","MG"
"445","MG"
"446","CA"
"447","CA"
"448","ZN"
"449","MLY"
"450","nan"
"451","MG"
"452","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"453","MG"
"454","CL"
"455","ZN"
"456","MG"
"457","CA"
"458","CA"
"459","ZN"
"460","ZN"
"461","CL"
"462","CL"
"463","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"464","CL"
"465","MG"
"466","CA"
"467","MG"
"468","CA"
"469","CA"
"470","MG"
"471","CL"
"472","CL"
"473","MG"
"474","CL"
"475","MG"
"476","MG"
"477","MG"
"478","MN"
"479","ZN"
"480","CL"
"481","CL"
"482","CL"
"483","MG"
"484","MG"
"485","EDO_BME_ETA"
"486","EDO_BME_ETA"
"487","CL"
"488","CA"
"489","CA"
"490","ZN"
"491","CL"
"492","CA"
"493","MG"
"494","nan"
"495","CA"
"496","MG"
"497","CL"
"498","MG"
"499","CA"
"500","MG"
"501","MG"
"502","EDO_BME_ETA"
"503","MG"
"504","CL"
"505","CL"
"506","ZN"
"507","CA"
"508","MG"
"509","CA"
"510","ZN"
"511","CA"
"512","CA"
"513","CL"
"514","CL"
"515","CL"
"516","MG"
"517","CA"
"518","CL"
"519","CL"
"520","CA"
"521","CL"
"522","CL"
"523","MG"
"524","CA"
"525","CA"
"526","CA"
"527","ZN"
"528","CL"
"529","CL"
"530","ZN"
"531","CL"
"532","CA"
"533","EDO_BME_ETA"
"534","CA"
"535","CA"
"536","CA"
"537","CL"
"538","CL"
"539","MG"
"540","CA"
"541","ZN"
"542","NAG_NDG_A2G_NGA_MAG"
"543","CA"
"544","CA"
"545","CA"
"546","MG"
"547","MG"
"548","CL"
"549","CA"
"550","ZN"
"551","CL"
"552","CA"
"553","CL"
"554","CL"
"555","CA"
"556","CL"
"557","MG"
"558","CA"
"559","MG"
"560","CL"
"561","CA"
"562","MG"
"563","CA"
"564","CA"
"565","MN"
"566","HEM"
"567","CA"
"568","CL"
"569","CL"
"570","CL"
"571","CA"
"572","CL"
"573","CL"
"574","HEM"
"575","CL"
"576","CA"
"577","ZN"
"578","CL"
"579","CL"
"580","CL"
"581","CA"
"582","CA"
"583","MG"
"584","CA"
"585","CL"
"586","CA"
"587","CA"
"588","CL"
"589","MG"
"590","MN"
"591","ZN"
"592","CL"
"593","ZN"
"594","CL"
"595","ZN"
"596","MN"
"597","MG"
"598","MG"
"599","CL"
"600","CL"
"601","CL"
"602","CL"
"603","ZN"
"604","HEM"
"605","ZN"
"606","ZN"
"607","CA"
"608","MG"
"609","MG"
"610","MG"
"611","CL"
"612","CL"
"613","MG"
"614","CL"
"615","MG"
"616","ZN"
"617","HEM"
"618","ZN"
"619","CA"
"620","CL"
"621","ZN"
"622","CA"
"623","ZN"
"624","CA"
"625","CA"
"626","EDO_BME_ETA"
"627","CL"
"628","CL"
"629","HEM"
"630","CA"
"631","CL"
"632","MG"
"633","CL"
"634","MN"
"635","CL"
"636","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"637","CL"
"638","MG"
"639","CL"
"640","CL"
"641","nan"
"642","CL"
"643","nan"
"644","MN"
"645","CA"
"646","CA"
"647","CL"
"648","CL"
"649","CA"
"650","CL"
"651","HEM"
"652","CL"
"653","CA"
"654","MG"
"655","ZN"
"656","CA"
"657","CL"
"658","CA"
"659","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"660","CA"
"661","CA"
"662","MG"
"663","MG"
"664","CA"
"665","CA"
"666","CA"
"667","ZN"
"668","CL"
"669","MG"
"670","ZN"
"671","CL"
"672","CL"
"673","MN"
"674","ZN"
"675","MG"
"676","MG"
"677","nan"
"678","CL"
"679","ZN"
"680","CL"
"681","MG"
"682","CL"
"683","nan"
"684","CL"
"685","CL"
"686","nan"
"687","CL"
"688","ZN"
"689","CL"
"690","CA"
"691","CL"
"692","CL"
"693","CL"
"694","nan"
"695","CL"
"696","CA"
"697","CL"
"698","MG"
"699","CL"
"700","nan"
"701","CL"
"702","CL"
"703","ZN"
"704","CA"
"705","CL"
"706","CL"
"707","MG"
"708","CA"
"709","ZN"
"710","CL"
"711","ZN"
"712","nan"
"713","CA"
"714","MG"
"715","MG"
"716","ZN"
"717","CA"
"718","CA"
"719","CA"
"720","CL"
"721","MN"
"722","CL"
"723","CL"
"724","NAG_NDG_A2G_NGA_MAG"
"725","MN"
"726","MG"
"727","CA"
"728","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"729","CA"
"730","CL"
"731","ZN"
"732","ZN"
"733","CA"
"734","CA"
"735","FES"
"736","CA"
"737","CL"
"738","MN"
"739","MG"
"740","nan"
"741","CL"
"742","CA"
"743","ZN"
"744","MG"
"745","MG"
"746","MG"
"747","CA"
"748","ZN"
"749","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"750","CA"
"751","MG"
"752","CA"
"753","CA"
"754","CL"
"755","CA"
"756","CA"
"757","CA"
"758","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"759","EDO_BME_ETA"
"760","EDO_BME_ETA"
"761","ZN"
"762","CA"
"763","MG"
"764","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"765","MG"
"766","CL"
"767","CA"
"768","HEM"
"769","MG"
"770","CL"
"771","ZN"
"772","CA"
"773","MG"
"774","nan"
"775","CL"
"776","CL"
"777","ZN"
"778","CL"
"779","CL"
"780","HEM"
"781","CA"
"782","CL"
"783","CA"
"784","CL"
"785","CL"
"786","HEM"
"787","ZN"
"788","CL"
"789","ZN"
"790","MG"
"791","CA"
"792","MG"
"793","CL"
"794","CA"
"795","ZN"
"796","ZN"
"797","ZN"
"798","CL"
"799","CL"
"800","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"801","CL"
"802","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"803","CA"
"804","ZN"
"805","CL"
"806","nan"
"807","CA"
"808","CA"
"809","ZN"
"810","CA"
"811","CA"
"812","CL"
"813","HEM"
"814","CA"
"815","EDO_BME_ETA"
"816","CL"
"817","CL"
"818","MG"
"819","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"820","CL"
"821","MG"
"822","CL"
"823","nan"
"824","nan"
"825","CL"
"826","CL"
"827","CA"
"828","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"829","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"830","MG"
"831","CA"
"832","HEM"
"833","MG"
"834","CL"
"835","CA"
"836","CA"
"837","MG"
"838","MG"
"839","ZN"
"840","CL"
"841","ZN"
"842","CA"
"843","CA"
"844","CL"
"845","MG"
"846","ZN"
"847","CL"
"848","CA"
"849","MG"
"850","CL"
"851","CL"
"852","CA"
"853","CA"
"854","CL"
"855","ZN"
"856","CA"
"857","CL"
"858","EDO_BME_ETA"
"859","MG"
"860","MG"
"861","MG"
"862","CA"
"863","CA"
"864","ZN"
"865","CA"
"866","CL"
"867","CA"
"868","MG"
"869","CA"
"870","ZN"
"871","SF4_F3S"
"872","SF4_F3S"
"873","ZN"
"874","CA"
"875","MG"
"876","CL"
"877","NAG_NDG_A2G_NGA_MAG"
"878","MN"
"879","CL"
"880","CL"
"881","CL"
"882","MG"
"883","CL"
"884","nan"
"885","MG"
"886","CA"
"887","EDO_BME_ETA"
"888","ZN"
"889","ZN"
"890","CA"
"891","ZN"
"892","CL"
"893","NAG_NDG_A2G_NGA_MAG"
"894","CA"
"895","CA"
"896","CL"
"897","MG"
"898","MG"
"899","CA"
"900","MG"
"901","CL"
"902","MG"
"903","MG"
"904","CL"
"905","CL"
"906","MG"
"907","CL"
"908","MG"
"909","CA"
"910","CL"
"911","CA"
"912","HEM"
"913","MN"
"914","CL"
"915","MG"
"916","ZN"
"917","CA"
"918","ZN"
"919","CL"
"920","ZN"
"921","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"922","ZN"
"923","CL"
"924","nan"
"925","CA"
"926","CA"
"927","MG"
"928","MG"
"929","MG"
"930","CL"
"931","MG"
"932","ZN"
"933","CA"
"934","CA"
"935","CL"
"936","EDO_BME_ETA"
"937","ZN"
"938","CA"
"939","CL"
"940","CL"
"941","CA"
"942","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"943","CL"
"944","CL"
"945","CL"
"946","CL"
"947","CA"
"948","CA"
"949","CL"
"950","CL"
"951","CA"
"952","CL"
"953","CL"
"954","MG"
"955","ZN"
"956","CL"
"957","HEM"
"958","EDO_BME_ETA"
"959","MG"
"960","EDO_BME_ETA"
"961","EDO_BME_ETA"
"962","nan"
"963","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"964","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"965","ZN"
"966","CL"
"967","CL"
"968","CA"
"969","ZN"
"970","ZN"
"971","CA"
"972","CL"
"973","MG"
"974","MG"
"975","CL"
"976","ZN"
"977","CL"
"978","CL"
"979","MG"
"980","MG"
"981","CA"
"982","CL"
"983","MN"
"984","ZN"
"985","CL"
"986","MG"
"987","CL"
"988","CL"
"989","CL"
"990","MG"
"991","CA"
"992","ZN"
"993","CA"
"994","MN"
"995","nan"
"996","ZN"
"997","nan"
"998","ZN"
"999","MG"
"1000","ZN"
"1001","CL"
"1002","ZN"
"1003","CA"
"1004","CL"
"1005","CL"
"1006","CA"
"1007","MG"
"1008","CL"
"1009","CA"
"1010","CL"
"1011","CL"
"1012","CL"
"1013","CL"
"1014","CL"
"1015","CL"
"1016","MG"
"1017","CL"
"1018","CL"
"1019","CL"
"1020","CL"
"1021","CL"
"1022","CA"
"1023","CA"
"1024","CL"
"1025","ZN"
"1026","ZN"
"1027","ZN"
"1028","EDO_BME_ETA"
"1029","CL"
"1030","CL"
"1031","CA"
"1032","ZN"
"1033","CA"
"1034","MG"
"1035","MN"
"1036","CA"
"1037","MG"
"1038","CA"
"1039","CL"
"1040","CA"
"1041","CA"
"1042","NAG_NDG_A2G_NGA_MAG"
"1043","NAG_NDG_A2G_NGA_MAG"
"1044","CL"
"1045","CA"
"1046","CL"
"1047","CA"
"1048","CA"
"1049","ZN"
"1050","CA"
"1051","CA"
"1052","CL"
"1053","nan"
"1054","CL"
"1055","MG"
"1056","MG"
"1057","MG"
"1058","MG"
"1059","CL"
"1060","nan"
"1061","ZN"
"1062","CL"
"1063","CA"
"1064","CL"
"1065","CA"
"1066","CA"
"1067","nan"
"1068","CA"
"1069","ZN"
"1070","CL"
"1071","CL"
"1072","NAG_NDG_A2G_NGA_MAG"
"1073","nan"
"1074","MG"
"1075","CA"
"1076","CA"
"1077","SF4_F3S"
"1078","CL"
"1079","CA"
"1080","CL"
"1081","ZN"
"1082","MG"
"1083","ZN"
"1084","CA"
"1085","MG"
"1086","ZN"
"1087","nan"
"1088","MG"
"1089","CL"
"1090","nan"
"1091","nan"
"1092","CL"
"1093","MN"
"1094","MG"
"1095","MG"
"1096","MG"
"1097","CA"
"1098","MG"
"1099","CA"
"1100","ZN"
"1101","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"1102","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"1103","ZN"
"1104","MG"
"1105","CA"
"1106","CA"
"1107","CA"
"1108","MN"
"1109","CL"
"1110","CA"
"1111","CL"
"1112","CL"
"1113","MG"
"1114","MG"
"1115","MG"
"1116","CA"
"1117","MG"
"1118","CA"
"1119","CA"
"1120","CL"
"1121","CL"
"1122","CL"
"1123","ZN"
"1124","CL"
"1125","nan"
"1126","ZN"
"1127","CL"
"1128","CA"
"1129","CA"
"1130","ZN"
"1131","ZN"
"1132","CA"
"1133","CL"
"1134","HEM"
"1135","CL"
"1136","CL"
"1137","CL"
"1138","CA"
"1139","ZN"
"1140","CL"
"1141","CL"
"1142","CL"
"1143","MG"
"1144","ZN"
"1145","CL"
"1146","CL"
"1147","CL"
"1148","CA"
"1149","CA"
"1150","MG"
"1151","MG"
"1152","CA"
"1153","CA"
"1154","CL"
"1155","MG"
"1156","MG"
"1157","CA"
"1158","MG"
"1159","CA"
"1160","MG"
"1161","CL"
"1162","MG"
"1163","MG"
"1164","MN"
"1165","ZN"
"1166","NAG_NDG_A2G_NGA_MAG"
"1167","EDO_BME_ETA"
"1168","ZN"
"1169","ZN"
"1170","CL"
"1171","ZN"
"1172","CL"
"1173","CL"
"1174","CL"
"1175","MG"
"1176","CL"
"1177","CL"
"1178","CL"
"1179","CA"
"1180","CL"
"1181","MG"
"1182","CL"
"1183","ZN"
"1184","MG"
"1185","MG"
"1186","MG"
"1187","MG"
"1188","MG"
"1189","MG"
"1190","CL"
"1191","CA"
"1192","EDO_BME_ETA"
"1193","ZN"
"1194","ZN"
"1195","CL"
"1196","CA"
"1197","MG"
"1198","CA"
"1199","CA"
"1200","MG"
"1201","ZN"
"1202","CL"
"1203","CL"
"1204","CL"
"1205","CL"
"1206","CA"
"1207","CL"
"1208","CL"
"1209","ZN"
"1210","CL"
"1211","CL"
"1212","nan"
"1213","nan"
"1214","CL"
"1215","MG"
"1216","CL"
"1217","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"1218","ZN"
"1219","CL"
"1220","CA"
"1221","CL"
"1222","CA"
"1223","ZN"
"1224","ZN"
"1225","CL"
"1226","MN"
"1227","CA"
"1228","CA"
"1229","MG"
"1230","CA"
"1231","CA"
"1232","ZN"
"1233","CL"
"1234","CL"
"1235","CL"
"1236","CL"
"1237","ZN"
"1238","CL"
"1239","CL"
"1240","nan"
"1241","CL"
"1242","nan"
"1243","nan"
"1244","CA"
"1245","CL"
"1246","MG"
"1247","MG"
"1248","CL"
"1249","ZN"
"1250","ZN"
"1251","MG"
"1252","ZN"
"1253","ZN"
"1254","CL"
"1255","ZN"
"1256","ZN"
"1257","MG"
"1258","CA"
"1259","ZN"
"1260","CA"
"1261","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"1262","CL"
"1263","MG"
"1264","MG"
"1265","CL"
"1266","MG"
"1267","CA"
"1268","MN"
"1269","CL"
"1270","CL"
"1271","CL"
"1272","CL"
"1273","ZN"
"1274","CL"
"1275","CL"
"1276","CL"
"1277","CA"
"1278","CA"
"1279","CL"
"1280","ZN"
"1281","MG"
"1282","CL"
"1283","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"1284","MG"
"1285","CL"
"1286","CA"
"1287","CA"
"1288","CA"
"1289","CA"
"1290","CL"
"1291","ZN"
"1292","CA"
"1293","CL"
"1294","CL"
"1295","MN"
"1296","MG"
"1297","CL"
"1298","CL"
"1299","ZN"
"1300","CA"
"1301","CL"
"1302","CL"
"1303","MG"
"1304","ZN"
"1305","CA"
"1306","CL"
"1307","CL"
"1308","CL"
"1309","CL"
"1310","CL"
"1311","CA"
"1312","CA"
"1313","CL"
"1314","CL"
"1315","CA"
"1316","CL"
"1317","nan"
"1318","CA"
"1319","HEM"
"1320","CL"
"1321","CL"
"1322","CA"
"1323","CA"
"1324","MG"
"1325","HEM"
"1326","CA"
"1327","CA"
"1328","ZN"
"1329","ZN"
"1330","ZN"
"1331","CL"
"1332","CA"
"1333","CL"
"1334","CL"
"1335","CL"
"1336","CL"
"1337","CL"
"1338","ZN"
"1339","CA"
"1340","MG"
"1341","CL"
"1342","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"1343","CA"
"1344","CA"
"1345","MG"
"1346","MG"
"1347","ZN"
"1348","CL"
"1349","EDO_BME_ETA"
"1350","CL"
"1351","CA"
"1352","CA"
"1353","CL"
"1354","ZN"
"1355","nan"
"1356","nan"
"1357","CL"
"1358","CL"
"1359","CL"
"1360","MG"
"1361","MG"
"1362","MG"
"1363","CL"
"1364","CA"
"1365","CL"
"1366","CA"
"1367","CA"
"1368","MG"
"1369","ZN"
"1370","CL"
"1371","NAG_NDG_A2G_NGA_MAG"
"1372","CL"
"1373","CL"
"1374","ZN"
"1375","MN"
"1376","CL"
"1377","CA"
"1378","CL"
"1379","MG"
"1380","CL"
"1381","CA"
"1382","MG"
"1383","ZN"
"1384","CL"
"1385","MG"
"1386","ZN"
"1387","ZN"
"1388","ZN"
"1389","CA"
"1390","MG"
"1391","MG"
"1392","MG"
"1393","CL"
"1394","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"1395","MN"
"1396","CL"
"1397","CL"
"1398","CA"
"1399","MG"
"1400","CA"
"1401","CL"
"1402","CA"
"1403","CL"
"1404","nan"
"1405","CA"
"1406","CA"
"1407","CA"
"1408","CA"
"1409","ZN"
"1410","CA"
"1411","CL"
"1412","CA"
"1413","CA"
"1414","CA"
"1415","CA"
"1416","CL"
"1417","ZN"
"1418","CL"
"1419","CL"
"1420","MG"
"1421","CA"
"1422","MG"
"1423","CL"
"1424","ZN"
"1425","MG"
"1426","MG"
"1427","CL"
"1428","ZN"
"1429","CA"
"1430","CL"
"1431","CA"
"1432","CA"
"1433","CL"
"1434","HEM"
"1435","H4B_HBI"
"1436","CL"
"1437","CL"
"1438","CL"
"1439","CA"
"1440","nan"
"1441","CA"
"1442","CL"
"1443","CA"
"1444","CL"
"1445","CL"
"1446","MG"
"1447","CL"
"1448","CA"
"1449","MN"
"1450","MG"
"1451","CA"
"1452","CL"
"1453","CA"
"1454","CL"
"1455","HEM"
"1456","ZN"
"1457","ZN"
"1458","MG"
"1459","MG"
"1460","HEM"
"1461","MG"
"1462","CL"
"1463","ZN"
"1464","CA"
"1465","CL"
"1466","CL"
"1467","CL"
"1468","CL"
"1469","CL"
"1470","EDO_BME_ETA"
"1471","CL"
"1472","CL"
"1473","CA"
"1474","ZN"
"1475","CA"
"1476","MG"
"1477","CA"
"1478","CL"
"1479","CL"
"1480","MG"
"1481","CA"
"1482","ZN"
"1483","CA"
"1484","ZN"
"1485","CA"
"1486","CL"
"1487","CA"
"1488","CL"
"1489","CA"
"1490","CL"
"1491","MG"
"1492","CL"
"1493","CL"
"1494","CA"
"1495","nan"
"1496","MG"
"1497","CA"
"1498","CA"
"1499","MG"
"1500","MG"
"1501","CL"
"1502","CL"
"1503","CL"
"1504","MG"
"1505","CL"
"1506","CL"
"1507","nan"
"1508","ZN"
"1509","ZN"
"1510","CA"
"1511","CA"
"1512","CL"
"1513","MN"
"1514","CA"
"1515","CL"
"1516","CL"
"1517","MG"
"1518","MG"
"1519","MG"
"1520","CL"
"1521","ZN"
"1522","CA"
"1523","MG"
"1524","CA"
"1525","HEM"
"1526","MN"
"1527","CL"
"1528","CL"
"1529","CL"
"1530","CL"
"1531","ZN"
"1532","CL"
"1533","ZN"
"1534","CL"
"1535","MN"
"1536","CL"
"1537","CA"
"1538","CA"
"1539","MG"
"1540","CL"
"1541","MG"
"1542","MG"
"1543","MG"
"1544","MG"
"1545","ZN"
"1546","MG"
"1547","CA"
"1548","CL"
"1549","CL"
"1550","CL"
"1551","CL"
"1552","CA"
"1553","ZN"
"1554","CL"
"1555","CA"
"1556","CL"
"1557","CL"
"1558","CL"
"1559","MG"
"1560","CL"
"1561","CL"
"1562","CA"
"1563","ZN"
"1564","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"1565","CA"
"1566","MG"
"1567","CL"
"1568","CL"
"1569","MG"
"1570","CA"
"1571","CL"
"1572","MN"
"1573","CL"
"1574","CL"
"1575","CA"
"1576","CL"
"1577","CA"
"1578","CL"
"1579","CL"
"1580","MG"
"1581","MG"
"1582","CL"
"1583","nan"
"1584","nan"
"1585","MG"
"1586","CA"
"1587","CL"
"1588","CL"
"1589","CL"
"1590","CL"
"1591","CA"
"1592","MG"
"1593","MG"
"1594","MG"
"1595","CL"
"1596","CL"
"1597","MG"
"1598","CA"
"1599","CL"
"1600","CL"
"1601","CL"
"1602","CL"
"1603","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"1604","CL"
"1605","MN"
"1606","CL"
"1607","CL"
"1608","CL"
"1609","ZN"
"1610","ZN"
"1611","CL"
"1612","MN"
"1613","CL"
"1614","CA"
"1615","CL"
"1616","CL"
"1617","SF4_F3S"
"1618","nan"
"1619","ZN"
